A1,A
LIZENZ1,Lizenz
LO1,Lo
LOBBY1,Lobby
LOCATAIRE1,Locataire
LOCATAIRE2,Locataire
LOCATIOUN1,Locatioun
LOCHER1,Locher
LODGE1,Lodge
LOFT1,Loft
LOFTBALL1,Loftball
LOFTBALLON1,Loftballon
LOFTBLOS1,Loftblos
LOFTDROCK1,Loftdrock
LOFTLACH1,Loftlach
LOFTMATRASS1,Loftmatrass
LOFTPOMPEL1,Loftpompel
LOGE1,Loge
LOGEIEREN1,logéieren
LOGEMENT1,Logement
LOGESCH1,logesch
LOGESCHERWEIS1,logescherweis
LOGICIEL1,Logiciel
LOGIK1,Logik
LOGISTESCH1,logistesch
LOGISTIK1,Logistik
LOGO1,Logo
LOGOPAD1,Logopäd
LOGOPADESCH1,logopädesch
LOGOPADIE1,Logopädie
LOGOPADIN1,Logopädin
LOKAL1,Lokal
LOKAL2,lokal
LOKALANASTHESIE1,Lokalanästhesie
LOKALEQUIPE1,Lokalequipe
LOKALISEIEREN1,lokaliséieren
LOKALITEIT1,Lokalitéit
LOKALNARKOS1,Lokalnarkos
LOKALSEKTIOUN1,Lokalsektioun
LOKOMOTIV1,Lokomotiv
LOKOMOTIVFUHRER1,Lokomotivführer
LOKOMOTIVFUHRERIN1,Lokomotivführerin
LOMBALGIE1,Lombalgie
LOMP1,Lomp
LOMPEKREIMER1,Lompekréimer
LOMPEKREIMESCH1,Lompekréimesch
LOMPEN1,lompen
LONG1,Long
LONGEFLILLEK1,Longeflillek
LONGEKRANKHEET1,Longekrankheet
LONGEKRIIBS1,Longekriibs
LONGENENTZUNDUNG1,Longenentzündung
LONGSDREF1,Longsdref
LONKECH1,Lonkech
LOOSSEN1,loossen
LORBERBLAT1,Lorberblat
LOSCHT1,Loscht
LOSUNG1,Lösung
LOTIOUN1,Lotioun
LOTISSEMENT1,Lotissement
LOTTERIE1,Lotterie
LOTTERIESLOUS1,Lotterieslous
LOTTO1,Lotto
LOU1,Lou
LOUCHE1,louche
LOUCHE2,Louche
LOUDER1,Louder
LOUDER2,louder
LOUDEREI1,Louderei
LOUHECK1,Louheck
LOUN1,Loun
LOUNAUSFALL1,Lounausfall
LOUNEN1,lounen
LOUNEN2,lounen
LOUNPOLITIK1,Lounpolitik
LOUNVERHANDLUNG1,Lounverhandlung
LOUS2,lous
LOUS3,Lous
LOUSEN1,lousen
LOUSERENG1,Lousereng
LOYAL1,loyal
LOYALITEIT1,Loyalitéit
LOYAUTEIT1,Loyautéit
LOYER1,Loyer
LUCH1,Luch
LUCHS1,Luchs
LUCIANER1,Lucianer
LUCIANERIN1,Lucianerin
LUCIANESCH1,lucianesch
LUCK1,Luck
LUED1,Lued
LUED2,Lued
LUEDEN1,lueden
LUEF1,Luef
LUERENZSCHEIERHAFF1,Luerenzscheierhaff
LUERENZWEILER1,Luerenzweiler
LUES1,lues
LUESGEKACHT1,luesgekacht
LUEWEN1,luewen
LUEWENSWAERT1,luewenswäert
LUEWESWAERT1,lueweswäert
LUFTIKUS1,Luftikus
LUFTROHRE1,Luftröhre
LUFTROHRENSCHNATT1,Luftröhrenschnatt
LUFTRORE1,Luftröre
LUFTRORENSCHNATT1,Luftrörenschnatt
LUKRATIV1,lukrativ
LUPP1,Lupp
LUPPEN1,luppen
LUPPES1,Luppes
LUPUS1,Lupus
LUSTER1,Lüster
LUSTERKLEMM1,Lüsterklemm
LUTETIUM1,Lutetium
LUTSCH1,Lutsch
LUTSCHEN1,lutschen
LUTTE1,Lutte
LUUCHT1,Luucht
LUUCHTEPOTTO1,Luuchtepotto
LUUCHTESCHALTER1,Luuchteschalter
LUUSS1,Luuss
LUUSSEG1,luusseg
LUUSSEN1,luussen
LUUSSERT1,Luussert
LUXATIOUN1,Luxatioun
LUXURIEIS1,luxuriéis
LUXUS1,Luxus
LYCEE1,Lycée
LYMPHDRAINAGE1,Lymphdrainage
LYMPHDRUS1,Lymphdrüs
LYMPHDRUSEKRIIBS1,Lymphdrüsekriibs
LYMPHODEM1,Lymphödem
LYNCHEN1,lynchen
LYONER1,Lyoner
LYRESCH1,lyresch
LYRIK1,Lyrik
LYRIKER1,Lyriker
LYRIKERIN1,Lyrikerin
MA1,mä
MA2,ma
MA3,ma
MA4,ma
MAACH1,Maach
MAACHEN1,maachen
MAACHERLOUN1,Maacherloun
MAANDEL1,Maandel
MAANS1,maans
MAANSGREISST1,Maansgréisst
MAANSKAREL1,Maanskärel
MAANSMENSCH1,Maansmënsch
MAARKEBAACH1,Maarkebaach
MAARKOLLEF1,Maarkollef
MAARKSBIERG1,Maarksbierg
MAARNECH1,Maarnech
MAARNICH1,Maarnich
MAART1,Maart
MAARTEL1,Maartel
MAARTELENG1,Maarteleng
MAARTFRA1,Maartfra
MAARTHAL1,Maarthal
MAARTLEIT1,Maartleit
MAARTMANN1,Maartmann
MAARTPLAZ1,Maartplaz
MAASSELTER1,Maasselter
MACADAMIA1,Macadamia
MACADAMIANOSS1,Macadamianoss
MACHBAR1,machbar
MACHO1,Macho
MACHT1,Macht
MACHTEG1,mächteg
MADAGASKAR1,Madagaskar
MADAGASS1,Madagass
MADAGASSESCH1,madagassesch
MADAGASSIN1,Madagassin
MADAME1,Madame
MADAMM1,Madamm
MADAMMCHEN1,Madämmchen
MADERE1,Madère
MADERESZOOSS1,Madèreszooss
MADRESCHER1,Mädrescher
MADRILL1,Madrill
MAEN1,mäen
MAERCHEN1,Mäerchen
MAERDER1,Mäerder
MAERDERESCH1,mäerderesch
MAERDERIN1,Mäerderin
MAERKELS1,Mäerkels
MAERTCHEN1,Mäertchen
MAERTERT1,Mäertert
MAERZ1,Mäerz
MAERZEG1,Mäerzeg
MAGASENG1,Magaséng
MAGASINIER1,Magasinier
MAGASINIERE1,Magasinière
MAGERSUCHT1,Magersucht
MAGERSUCHTEG1,magersüchteg
MAGESCH1,magesch
MAGGISKRAUT1,Maggiskraut
MAGIE1,Magie
MAGISTRAT1,Magistrat
MAGISTRATIN1,Magistratin
MAGISTRATUR1,Magistratur
MAGMA1,Magma
MAGNEIT1,Magnéit
MAGNEITESCH1,magnéitesch
MAGNEITFELD1,Magnéitfeld
MAGNEITSTRAIF1,Magnéitsträif
MAGNESIUM1,Magnesium
MAHNUNG1,Mahnung
MAIERCHEN1,Maierchen
MAIFELCHEN1,Mäifelchen
MAIKAFER1,Maikäfer
MAIL1,Mail
MAILBOX1,Mailbox
MAILEN1,mailen
MAILLOT1,Maillot
MAIN1,mäin
MAINT1,mäint
MAINTENANCE1,Maintenance
MAIS1,Mais
MAISCH1,Maisch
MAISCHEN1,Maischen
MAISFAL1,Maisfal
MAISKAR1,Maiskär
MAISKINNEK1,Maiskinnek
MAISLACH1,Maislach
MAISMIEL1,Maismiel
MAISSTAERKT1,Maisstäerkt
MAISUELEG1,Maisueleg
MAITRESSE1,Maîtresse
MAITRISE1,Maîtrise
MAJA1,maja
MAJESTATESCH1,majestätesch
MAJESTEIT1,Majestéit
MAJESTEITESCH1,majestéitesch
MAJO1,majo
MAJORAN1,Majoran
MAJORETT1,Majorett
MAJORETTE1,Majorette
MAJORITAR1,majoritär
MAJORITEIT1,Majoritéit
MAJOUER1,Majouer
MAKABER1,makaber
MAKADAM1,Makadam
MAKADAMM1,Makadamm
MAKEUP1,Make-up
MAKKARONI1,Makkaroni
MAKREIL1,Makréil
MAKREILCHEN1,Makréilchen
MAKULADEGENERATIOUN1,Makuladegeneratioun
MALARIA1,Malaria
MALAWESCH1,malawesch
MALAWI1,Malawi
MALAWIER1,Malawier
MALAWIERIN1,Malawierin
MALAYSESCH1,malaysesch
MALAYSIA1,Malaysia
MALAYSIER1,Malaysier
MALAYSIERIN1,Malaysierin
MALEDIVEN1,Malediven
MALEDIVER1,Malediver
MALEDIVERIN1,Malediverin
MALEDIVESCH1,maledivesch
MALESCH1,malesch
MALI1,Mali
MALIER1,Malier
MALIERIN1,Malierin
MALL1,Mall
MALLE1,Malle
MALTA1,Malta
MALTESER1,Malteser
MALTESERIN1,Malteserin
MALTESESCH1,maltesesch
MALTRAITEIEREN1,maltraitéieren
MALZ1,Malz
MAM1,Mam
MAM2,mam
MAMENDEIER1,Mamendéier
MAMER1,Mamer
MAMER2,Mamer
MAMM1,Mamm
MAMMA1,Mamma
MAMMEJENGELCHEN1,Mammejéngelchen
MAMMEJONG1,Mammejong
MAMMEKAND1,Mammekand
MAMMEKENDCHEN1,Mammekëndchen
MAMMEMELLECH1,Mammemëllech
MAMMENDAG1,Mammendag
MAMMEREG1,mammereg
MAMMESPROOCH1,Mammesprooch
MAMMESPROOCHLER1,Mammesproochler
MAMMESPROOCHLERIN1,Mammesproochlerin
MAMMOGRAPHIE1,Mammographie
MANAGEMENT1,Management
MANAGEN1,managen
MANAGER1,Manager
MANAGERIN1,Managerin
MANCHETTE1,Manchette
MANCHETTEKNAPP1,Manchettëknapp
MANDARINE1,Mandarine
MANDARININT1,Mandarinint
MANDAT1,Mandat
MANDATAIRE1,Mandataire
MANDATEIEREN1,mandatéieren
MANDEL1,Mandel
MANDELBLIETCHEN1,Mandelblietchen
MANDELPESTO1,Mandelpesto
MANEIER1,Manéier
MANEIERLECH1,manéierlech
MANERTCHEN1,Manertchen
MANGAN1,Mangan
MANGEL1,Mangel
MANGO1,Mango
MANIABEL1,maniabel
MANIE1,Manie
MANIFEST1,manifest
MANIFEST2,Manifest
MANIFESTANT1,Manifestant
MANIFESTANTIN1,Manifestantin
MANIFESTATIOUN1,Manifestatioun
MANIFESTEIEREN1,manifestéieren
MANIKUR1,Manikür
MANIPULATEUR1,Manipulateur
MANIPULATIOUN1,Manipulatioun
MANIPULATRICE1,Manipulatrice
MANIPULEIEREN1,manipuléieren
MANKTEM1,Manktem
MANN1,Mann
MANN3,mann
MANNCHEN1,Männchen
MANNEQUIN1,Mannequin
MANNER1,manner
MANNER2,manner
MANNERFEINDLECH1,männerfeindlech
MANNERJAREG1,mannerjäreg
MANNERKAMMERCHOUER1,Männerkammerchouer
MANNERWAERTEG1,mannerwäerteg
MANNI1,Männi
MANNLECH1,männlech
MANNLECHKEET1,Männlechkeet
MANNST1,mannst
MANNSTEN1,mannsten
MANNSTER2,mannster
MANOMETER1,Manometer
MANOVER1,Manöver
MANOVREIEREN1,manövréieren
MANSARDE1,Mansarde
MANSARDESFENSTER1,Mansardesfënster
MANTEL1,Mantel
MANTELBRIET1,Mantelbriet
MANTELCHEN1,Mäntelchen
MANTELMEIW1,Mantelméiw
MANTERNACH1,Manternach
MANUELL1,manuell
MANUSKRIPT1,Manuskript
MAPP1,Mapp
MAPPCHEN1,Mäppchen
MAQUETTE1,Maquette
MAQUILLAGE1,Maquillage
MAQUILLEIEREN1,maquilléieren
MARATHON1,Marathon
MARATHONLEEFER1,Marathonleefer
MARATHONLEEFERIN1,Marathonleeferin
MARBER1,Marber
MARBER2,marber
MARBREIERT1,marbréiert
MARCASSIN1,Marcassin
MARCHANDISE1,Marchandise
MARCHE1,Marché
MARDER1,Marder
MAREI1,Märei
MAREL1,Märel
MAREL2,Märel
MAREL3,Märel
MARGARINE1,Margarine
MARGE1,Marge
MARGINAL1,marginal
MARGINALISEIEREN1,marginaliséieren
MARGREITCHEN1,Margréitchen
MARIAGE1,Mariage
MARIENDALL1,Mariendall
MARIHUANA1,Marihuana
MARIMBA1,Marimba
MARINAD1,Marinad
MARINADE1,Marinade
MARINE1,Marine
MARINEIEREN1,marinéieren
MARINN1,Marinn
MARIONETT1,Marionett
MARJENDALLERHAFF1,Märjendaller_Haff
MARK1,Mark
MARKANT1,markant
MARKEIEREN1,markéieren
MARKEIERUNG1,Markéierung
MARKENZEECHEN1,Markenzeechen
MARKETING1,Marketing
MARKIS1,Markis
MARMER1,Marmer
MARMER2,marmer
MARMERKUCH1,Marmerkuch
MAROC1,Maroc
MAROCANER1,Marocaner
MAROCANERIN1,Marocanerin
MAROCANESCH1,marocanesch
MAROKKANER1,Marokkaner
MAROKKANERIN1,Marokkanerin
MAROKKANESCH1,marokkanesch
MAROKKO1,Marokko
MAROQUINERIE1,Maroquinerie
MAROTT1,Marott
MAROTTE1,Marotte
MARQUISE1,Marquise
MARSCH1,Marsch
MARSCHEIEREN1,marschéieren
MARSCHERWALD1,Marscherwald
MARSHALLER1,Marshaller
MARSHALLERIN1,Marshallerin
MARSHALLESCH1,marshallesch
MARSHALLINSELEN1,Marshallinselen
MARTINNI1,Martinni
MARTYRER1,Märtyrer
MARTYRERIN1,Märtyrerin
MARTYRIUM1,Martyrium
MARXEKNUPP1,Marxeknupp
MARXISMUS1,Marxismus
MARXIST1,Marxist
MARXISTESCH1,marxistesch
MARXISTIN1,Marxistin
MARXMILLEN1,Marxmillen
MARZIPAN1,Marzipan
MASCH1,Masch
MASCHENDROT1,Maschendrot
MASCHINELL1,maschinell
MASCHINERIE1,Maschinerie
MASCHINIST1,Maschinist
MASCHINISTIN1,Maschinistin
MASCHINN1,Maschinn
MASCHINNCHEN1,Maschinnchen
MASCHINNENDEEL1,Maschinnendeel
MASCHT1,Mascht
MASCHTEN1,mäschten
MASETT1,Masett
MASK1,Mask
MASKEIERT1,maskéiert
MASKOTTCHEN1,Maskottchen
MASKULIN1,maskulin
MASOSCHISMUS1,Masoschismus
MASOSCHIST1,Masoschist
MASOSCHISTESCH1,masoschistesch
MASOSCHISTIN1,Masoschistin
MASS1,Mass
MASS2,Mass
MASSAGE1,Massage
MASSAKER1,Massaker
MASSAKREIEREN1,massakréieren
MASSEG1,masseg
MASSEIEREN1,masséieren
MASSEKLAPPEREI1,Massekläpperei
MASSELER1,Masseler
MASSENDENGER1,Massendénger
MASSEUR1,Masseur
MASSEUSE1,Masseuse
MASSEWEIS1,masseweis
MASSGEWAND1,Massgewand
MASSIV1,massiv
MAST1,Mast
MASTITE1,Mastite
MASTURBATIOUN1,Masturbatioun
MASTURBEIEREN1,masturbéieren
MASUTT1,Masutt
MASUTTSPRAIS1,Masuttspräis
MASUTTSTANK1,Masuttstank
MAT1,mat
MAT2,mat
MATAARBECHT1,Mataarbecht
MATAARBECHTER1,Mataarbechter
MATAARBECHTERIN1,Mataarbechterin
MATBESTELLEN1,matbestellen
MATBESTEMMEN1,matbestëmmen
MATBESTEMMUNG1,Matbestëmmung
MATBEWUNNER1,Matbewunner
MATBEWUNNERIN1,Matbewunnerin
MATBIERGER1,Matbierger
MATBIERGERIN1,Matbiergerin
MATBRENGEN1,matbréngen
MATBRUDDER1,Matbrudder
MATCH1,Match
MATDEELEN1,matdeelen
MATDEELUNG1,Matdeelung
MATDENKEN1,matdenken
MATDROEN1,matdroen
MATENANER1,matenaner
MATENANER2,matenaner
MATENEEN1,mateneen
MATENEEN2,mateneen
MATERIAL1,Material
MATERIALISMUS1,Materialismus
MATERIALIST1,Materialist
MATERIALISTESCH1,materialistesch
MATERIALISTIN1,Materialistin
MATERIALSCHUED1,Materialschued
MATERIELL1,materiell
MATERLIEWEN1,materliewen
MATERNITE1,Maternité
MATFEMMEN1,matfëmmen
MATFILLEN1,matfillen
MATFUEREN1,matfueren
MATGEFILL1,Matgefill
MATGESHAFF1,Matgeshaff
MATGINN1,matginn
MATGOEN1,matgoen
MATHALEN1,mathalen
MATHE1,Mathé
MATHELLEFEN1,mathëllefen
MATHEMATESCH1,mathematesch
MATHEMATIK1,Mathematik
MATHEMATIKER1,Mathematiker
MATHEMATIKERIN1,Mathematikerin
MATHEMATIKSPROFESSER1,Mathematiksprofesser
MATHEMATIKSPROFESSESCH1,Mathematiksprofessesch
MATHEMATIKSPROFESSORIN1,Mathematiksprofessorin
MATHEMATIKSSTUDIUM1,Mathematiksstudium
MATHEMATIKSTUDIUM1,Mathematikstudium
MATHUELEN1,mathuelen
MATIERE1,Matière
MATIESSEN1,matiessen
MATKOMMEN1,matkommen
MATKREIEN1,matkréien
MATLAFEN1,matlafen
MATLEED1,Matleed
MATLEEDEG1,matleedeg
MATLEEFER1,Matleefer
MATLIWWEREN1,matliwweren
MATMAACHEN1,matmaachen
MATMENSCH1,Matmënsch
MATMESCHEN1,matmëschen
MATRAPPEN1,matrappen
MATRASS1,Matrass
MATRECHNEN1,matrechnen
MATRICE1,Matrice
MATRICULE1,Matricule
MATROUS1,Matrous
MATROUSIN1,Matrousin
MATSANGEN1,matsangen
MATSCH1,Mätsch
MATSCH2,Mätsch
MATSCH3,mätsch
MATSCH5,matsch
MATSCH6,Matsch
MATSCHAFFEN1,matschaffen
MATSCHECKEN1,matschécken
MATSCHEG1,mätscheg
MATSCHEG3,matscheg
MATSCHELLEG1,matschëlleg
MATSCHLEEFEN1,matschleefen
MATSCHREIWEN1,matschreiwen
MATSCHULER1,Matschüler
MATSCHULERIN1,Matschülerin
MATSCHWATZEN1,matschwätzen
MATSPILLEN1,matspillen
MATSPILLER1,Matspiller
MATSPILLERIN1,Matspillerin
MATT1,Matt
MATT2,Matt
MATTEGEFT1,Mattegëft
MATTEN1,matten
MATURITEIT1,Maturitéit
MATVERSECHEREN1,matversécheren
MATZAIT1,matzäit
MATZAITEN1,matzäiten
MATZEN1,matzen
MATZIELEN1,matzielen
MAUER1,Mauer
MAUERLEEFER1,Mauerleefer
MAUERNISCH1,Mauernisch
MAUERWIERK1,Mauerwierk
MAUFEL1,Maufel
MAUFELEN1,maufelen
MAUL1,Maul
MAULDEIER1,Mauldéier
MAULEF2,Maulef
MAULEN1,maulen
MAULESMILLEN1,Maulesmillen
MAULIESEL1,Mauliesel
MAULKUERF1,Maulkuerf
MAULTROMMEL1,Maultrommel
MAULUSMILLEN1,Maulusmillen
MAULWUERF1,Maulwuerf
MAURETANESCH1,mauretanesch
MAURETANIEN1,Mauretanien
MAURETANIER1,Mauretanier
MAURETANIERIN1,Mauretanierin
MAURITESCH1,mauritesch
MAURITIER1,Mauritier
MAURITIERIN1,Mauritierin
MAURITIUS1,Mauritius
MAUS1,Maus
MAUSCHELEN1,mauschelen
MAUSEIERCHERSZALOT1,Mauséiercherszalot
MAUSFAL1,Mausfal
MAUSGRO1,mausgro
MAUSLACH1,Mauslach
MAUSLACHELCHEN1,Mauslächelchen
MAUSWISEL1,Mauswisel
MAUT1,Maut
MAUTSCHEN1,mautschen
MAXIMAL1,maximal
MAXIMALHEICHT1,Maximalhéicht
MAXIMALMASS1,Maximalmass
MAXIMUM1,Maximum
MAXIMUM2,maximum
MAYONNAISE1,Mayonnaise
MAZEDONESCH1,mazedonesch
MAZEDONIEN1,Mazedonien
MAZEDONIER1,Mazedonier
MAZEDONIERIN1,Mazedonierin
MAZOUT1,Mazout
MAZOUTSPRAIS1,Mazoutspräis
MAZOUTSTANK1,Mazoutstank
MECANICIEN1,Mecanicien
MECANICIENNE1,Mecanicienne
MECH1,mech
MECH2,mech
MECHANESCH1,mechanesch
MECHANIK1,Mechanik
MECHANISMUS1,Mechanismus
MECHELA1,Méchela
MECHELBUCH1,Méchelbuch
MECHELSBIERG1,Méchelsbierg
MECHELSHAFF1,Méchelshaff
MECHER1,Mecher
MECK1,Méck
MECKEBAATSCH1,Méckebaatsch
MECKEPEILER1,Méckepéiler
MECKEPEILEREI1,Méckepéilerei
MECKEPEILERT1,Méckepéilert
MECKEREN1,meckeren
MEDAIL1,Medail
MEDAILLON1,Medaillon
MEDECINEINTERNE1,Médecine_interne
MEDEZIN1,Medezin
MEDEZINER1,Medeziner
MEDEZINERIN1,Medezinerin
MEDEZINESCH1,medezinesch
MEDEZINSTUDIUM1,Medezinstudium
MEDIATEUR1,Mediateur
MEDIATIOUN1,Mediatioun
MEDIATRICE1,Mediatrice
MEDIKAMENT1,Medikament
MEDITATIOUN1,Meditatioun
MEDITATIV1,meditativ
MEDITEIEREN1,meditéieren
MEDIUM1,Medium
MEE1,Mee
MEE2,mee
MEECHER2,Meecher
MEECHTEM1,Meechtem
MEEDCHEN1,Meedchen
MEEDERCHERSNUMM1,Meederchersnumm
MEEDERCHERSVESTIAIRE1,Meederchersvestiaire
MEEKIEWERLEK1,Meekiewerlek
MEEKRANZ1,Meekranz
MEENUNG1,Meenung
MEEREISCHEN1,Meeréischen
MEES1,Mees
MEESCHT1,meescht
MEESCHTEN1,meeschten
MEESCHTENDEELS1,meeschtendeels
MEESCHTENS1,meeschtens
MEESCHTER1,Meeschter
MEESCHTER2,meeschter
MEESCHTEREN1,meeschteren
MEESCHTERKAART1,Meeschterkaart
MEESCHTERLEESCHTUNG1,Meeschterleeschtung
MEESCHTERPRUFUNG1,Meeschterprüfung
MEESCHTERSCHAFT1,Meeschterschaft
MEESCHTERWIERK1,Meeschterwierk
MEESCHTESCH1,Meeschtesch
MEESEBUERG1,Meesebuerg
MEESPELT1,Meespelt
MEESSEL1,Meessel
MEESSELEN1,meesselen
MEETING1,Meeting
MEFFELEN1,mëffelen
MEGA1,mega
MEGA2,mega
MEGAFON1,Megafon
MEGALOMANIE1,Megalomanie
MEGAPHON1,Megaphon
MEHRZAHL1,Mehrzahl
MEI1,méi
MEI2,Méi
MEI3,méi
MEIDEN1,meiden
MEIDENG1,Méideng
MEIDRESCHER1,Méidrescher
MEIEN1,méien
MEIGLECH1,méiglech
MEIGLECHERWEIS1,méiglecherweis
MEIGLECHKEET1,Méiglechkeet
MEIGLECHST1,méiglechst
MEIL1,Meil
MEILESTEEN1,Meilesteen
MEILEWAIT1,meilewäit
MEIMASCHINN1,Méimaschinn
MEINDEG1,Méindeg
MEINDEN1,Méinden
MEINDES1,méindes
MEINEN1,méinen
MEINTELAANG1,méintelaang
MEINTLAANG1,méintlaang
MEISCHDREF1,Méischdref
MEISCHTREF1,Méischtref
MEISPROOCHEG1,méisproocheg
MEISPROOCHEGKEET1,Méisproochegkeet
MEITNERIUM1,Meitnerium
MEIW1,Méiw
MELANCHOLESCH1,melancholesch
MELANCHOLIE1,Melancholie
MELANOM1,Melanom
MELASS1,Mëlass
MELDUNG1,Meldung
MELICKSHAFF1,Melickshaff
MELL1,mëll
MELLECH1,Mëllech
MELLECHBAUER1,Mëllechbauer
MELLECHDRUS1,Mëllechdrüs
MELLECHFRA1,Mëllechfra
MELLECHGLAS1,Mëllechglas
MELLECHKAN1,Mëllechkan
MELLECHKOU1,Mëllechkou
MELLECHMANN1,Mëllechmann
MELLECHPRODUKT1,Mëllechprodukt
MELLECHSCHOCKELA1,Mëllechschockela
MELLECHZANT1,Mëllechzant
MELLEN1,mellen
MELLER1,Mëller
MELLERCHEN1,Mëllerchen
MELLERDALL1,Mëllerdall
MELLEREF1,Mëlleref
MELLERIN1,Mëllerin
MELODESCH1,melodesch
MELODICA1,Melodica
MELODIE1,Melodie
MELOUN1,Meloun
MELZ1,Mëlz
MELZRASS1,Mëlzrass
MELZRESS1,Mëlzrëss
MELZVERGREISSERUNG1,Mëlzvergréisserung
MEMBER1,Member
MEMBERLAND1,Memberland
MEMBERSCHAFT1,Memberschaft
MEMBERSKAART1,Memberskaart
MEMBERSLESCHT1,Memberslëscht
MEMBERSTAAT1,Memberstaat
MEMBERSTAT1,Memberstat
MEMBRAN1,Membran
MEMOIRE1,Memoire
MEMOIRE2,Memoire
MEMOIREN1,Memoiren
MEMORABEL1,memorabel
MENACE1,Menace
MENACEIEREN1,menacéieren
MENAGERIE1,Menagerie
MENCH1,Mënch
MENDCHEN1,Mëndchen
MENDEG1,mëndeg
MENDELEVIUM1,Mendelevium
MENDLECH1,mëndlech
MENG1,meng
MENGEM1,mengem
MENGEN1,mengen
MENGEN2,mengen
MENGER1,menger
MENGER2,menger
MENGERLIEWEN1,mengerliewen
MENGERSAITS1,mengersäits
MENGETWEEGEN1,mengetweegen
MENGETWEGEN1,mengetwegen
MENINGITE1,Meningite
MENISKUS1,Meniskus
MENISKUSENTZUNDUNG1,Meniskusentzündung
MENJECKER1,Mënjecker
MENOPAUSE1,Menopause
MENSBECH1,Mënsbech
MENSBECHERSCHLASS1,Mënsbecher_Schlass
MENSCH1,Mënsch
MENSCHEGEDENKEN1,Mënschegedenken
MENSCHEMEIGLECH1,mënscheméiglech
MENSCHENHANDEL1,Mënschenhandel
MENSCHERECHT1,Mënscherecht
MENSCHERECHTSORGANISATIOUN1,Mënscherechtsorganisatioun
MENSCHEVERSTAND1,Mënscheverstand
MENSCHHEET1,Mënschheet
MENSCHLECH1,mënschlech
MENSCHLECHKEET1,Mënschlechkeet
MENSDER1,Mensder
MENTAL1,mental
MENTALITEIT1,Mentalitéit
MENTIONNEIEREN1,mentionnéieren
MENTIOUN1,Mentioun
MENU1,Menü
MENU2,Menu
MENUSKAART1,Menüskaart
MENZ1,Mënz
MENZSAMMLUNG1,Mënzsammlung
MER1,mer
MER2,mer
MERCERIE1,Mercerie
MERCI1,Merci
MERD1,Merd
MERDE1,Merde
MERINGUE1,Meringue
MERITE1,Merite
MERLIN1,Merlin
MESCH1,Mesch
MESCHEN1,mëschen
MESCHPULT1,Mëschpult
MESCHT1,Mëscht
MESCHTEKAUL1,Mëschtekaul
MESCHTEKOUP1,Mëschtekoup
MESCHTEN1,mëschten
MESCHTGREEF1,Mëschtgreef
MESCHUNG1,Mëschung
MESKOT1,Meskot
MESKOTNOSS1,Meskotnoss
MESPEL1,Mëspel
MESPELDREISCHEL1,Mëspeldréischel
MESSAGE1,Message
MESSAGERIE1,Messagerie
MESSBRAUCH1,Mëssbrauch
MESSBRAUCHEN1,mëssbrauchen
MESSEL1,Mëssel
MESSEN1,mëssen
MESSENG1,Messeng
MESSENGS1,messengs
MESSER1,Messer
MESSERCHEN1,Messerchen
MESSERFOLLEG1,Mësserfolleg
MESSERPICKEREI1,Messerpickerei
MESSERPICKERT1,Messerpickert
MESSGESCHECK1,Mëssgeschéck
MESSHANDELEN1,mësshandelen
MESSHANDLUNG1,Mësshandlung
MESSSTAND1,Mëssstand
MESSTRAUEN1,Mësstrauen
MESSTRAUESCH1,mësstrauesch
MESSUECHTEN1,mëssuechten
MESSVERSTANDNES1,Mëssverständnes
MESURE1,Mesure
METABOLISMUS1,Metabolismus
METALL2,Metall
METALLEN1,metallen
METALLESCH1,metallesch
METASTAS1,Metastas
METASTASE1,Metastase
METEO1,Meteo
METEORIT1,Meteorit
METEOROLOG1,Meteorolog
METEOROLOGESCH1,meteorologesch
METEOROLOGIE1,Meteorologie
METEOROLOGIN1,Meteorologin
METER1,Meter
METERDECK1,meterdéck
METEREN1,meteren
METERHEICH1,meterhéich
METERKAREE1,Meterkaree
METERLAANG1,meterlaang
METERWEIS1,meterweis
METHOD1,Method
METHODE1,Methode
METHODESCH1,methodesch
METRO1,Metro
METSCH1,Mëtsch
METSCHEED1,Mëtscheed
METSCHENHAFF1,Mëtschenhaff
METSCHGIEWEG1,mëtschgieweg
METSCHGIEWEGKEET1,Mëtschgiewegkeet
METT1,Mëtt
METTEG1,Mëtteg
METTEGIESSEN1,Mëttegiessen
METTEL1,Mëttel
METTEL2,mëttel
METTELALTER1,Mëttelalter
METTELALTERLECH1,mëttelalterlech
METTELAMERIKA1,Mëttelamerika
METTELAMERIKANER1,Mëttelamerikaner
METTELAMERIKANERIN1,Mëttelamerikanerin
METTELAMERIKANESCH1,mëttelamerikanesch
METTELBETRIB1,Mëttelbetrib
METTELCHEN1,Mëttelchen
METTELFANGER1,Mëttelfanger
METTELFELD1,Mëttelfeld
METTELFELDSPILLER1,Mëttelfeldspiller
METTELFELDSPILLERIN1,Mëttelfeldspillerin
METTELFRISTEG1,mëttelfristeg
METTELMEISSEG1,mëttelméisseg
METTELMIERMEIW1,Mëttelmierméiw
METTELPUNKT1,Mëttelpunkt
METTELSCHICHT1,Mëttelschicht
METTELSEEER1,Mëttelseeër
METTELSMANN1,Mëttelsmann
METTELSPIECHT1,Mëttelspiecht
METTELST1,mëttelst
METTELSTAND1,Mëttelstand
METTELWEE1,Mëttelwee
METTEN1,Mëtten
METTEN2,Metten
METTEN3,mëtten
METTERNUECHT1,Mëtternuecht
